Annotator 1,Annotator 2(Yasitha),Phrase
,,"පහන් හැබැයි මෙහෙම අයත් ඉන්නවා. ' දෙවියනි ඔබ කොහිද ' කියන චිත්‍රපටයේ අන්තෝනි පෙරේරා පල්ලියට ඇවිල්ලා පල්ලියේ ස්වාමිගේ ඔරලෝසුව හොරකම් කරනවා. ඒක අරගෙන එද්දී ඔහු දකිනවා ජේසු ස්වාමි දරුවන් කුරුසේ ඇණ ගහපු සුරුවම. ඔහු කියනවා ඔබ වහන්සේ ඉතින් දන්නවනේ , මම දුප්පත්නේ, ස්වාමිට ඔරලෝසු දෙකක් වැඩක් නැහැනේ කියලා. උන්වහන්සේව දැකලා මිනිහට සාධාරණය ඒත්තු ගන්වනවා. ඒ වගේ මිනිස්සුත් ඉන්නවා පහන්. මේකට අදාල නොවෙන්න පුළුවන් . ඒත් මම කිව්වේ සමහර අයගේ හැටි."
,,ඒක හොද ක්‍රියාවක් වුණත් සොරකමට අනුබල දීමක් නිසා අනුමත කරන්න පුලුවන්ද?
,disgust,දීය යුතු දඩුවම ලබු ගෙඩියේ අයිතිකරු විසින් ලබා දී ඇත. සොරාගත් අයට මෙය මතක ඇති තාක් කල් මානසික නිදහසක් නැහැ.
,,මටත් ආසයි ලබු කිරිබත් කන්න.
joy,joy,"උපුල්, පහන්, ඔබලාට ස්තූතියි."
,,ලබු කිරිබත් වලට වඩා රසයි ලබු කොළෙන් හදන එක්තරා කෑමක්.
,,ලබු ඕනෑවට වඩා කෑමෙන් ශරීරයේ ඇට මෙලෙක් වෙනවා. බොහොම පරිස්සමින් හොදේ.....
,,පහන්ගේ කතාවට මට මනුතාපය මතක් වුණා.
,,අනේ හොදයි. ඒ වුණාට පොල් මුඩ්ඩ අමතක වෙලා.
joy,Joy,ඒ මනුෂ්‍යයා හොඳ කෙනෙක්.. හරිදේ ඒකයි... පින්වැඩි කමට තව තව ලබු වැඩියෙන් හැදෙයි...මේකෙන් හොරාත් හැදෙයි. ලබු අයිතිකරුට දෙවියන්ගේ ආශිර්වාදය ලැබේවා..! දෙන තරමට තමයි ලැබෙන්නේ..
joy,joy,හිතහොද මනුස්සයෙක්.
anger,disgust,හොරු බෝ කරන කෙනෙක්.
,disgust,නිමල් වගේ අය තමයි පොල් ගෙඩියටත් උසාවි යන්නේ... මිනිසුන් ගැන ඔයිට වඩා හිතන්න ඕන. අපි කවුරුත් යනකොට මොනවත් අරන් යන්නේ නෑ. ඉන්නකං අනිත් අයට උපකාර කරන්න ඕන. මේක ආදර්ශයට ගත යුතු ක්‍රියාවක්...
,Joy,නෑ නිමල් මහත්තයා.. එයා අයිත් හොරකම් කරන එකක් නැ... එයාට නියම දඬුවම තමයි දුන්නේ. ගහන බනින ක්‍රමයට වඩා ඒක හොඳයි...
,,ඉවසීමෙන් සංයමයෙන් වැඩ කළොත් යහපත් සමාජයක් ගොඩනගන්න පුලුවන්. නැත්නම් උසාවි පොලිසි ගාණේ ගිහින් තමයි ගැටලු විසදාගන්න වෙන්නේ.
,,"ගෙවතු හිමියාට, ඔබ ආදර්ශවත් ගොවිමහතෙකි. කෑ දේ ගදයි, දුන් දේ සුවදයි...! බේබදු සොරාට....... මනුෂ්‍යයෙක් ලෙස හැසිරෙව! අඩුම තරමේ පොහොයටවත්."
joy,,කාටත් හොද වටිනා ආදර්ශයක්
disgust ,sadness,හිත හොද වැඩි උනාමත් ප්‍රශ්න
,,අර පොල් සොරකම් කල පුවතට හාත් පසින් විරුද්ද වැඩක් මේ පුවතින් තියෙන්නේ
,disgust,"අකුරස්ස පැත්තෙ ගමක මහත්තයෙකුට රට රැකියාවක් ලැබිලා ගියාලු. ගිය දවසෙ ඉදලා මහත්තයාගෙ යාලුවාගෙන් නෝනට අයුතු යෝජනා එනවලු. මේකට විසදුමක් හොයලා නොලැබුන තැන නෝනා ඒ යාලුවටම කතා කරලා ඇහුවලු ""මෙහෙම වනචරයෙක්ගෙන් මට කරදරයි ඒකට මොනවද කරන්නේ"" කියලා. මම කියපු දේ තේරුනාද මන්දා?"
surprise,,ඉතින් ඒ මනුස්සයාපුදුම මනුස්සයෙක්
anger,,එල්ලා මරන්න නියම කරන්න කාගේ උනත් ජීවිතයක්..
anger,,මිනී මැරීමට තැත් කිරීම එල්ලුම් ගහ හිමිවන වරදක්... වැරදි කරුවනට දඬුවම් ලැබේවා...!
,,සිතට දුකක් දැනුනු විට එය නිවාගැනීමට යහපත් මාර්ගයක් තෝරාගන්න. බුද්ධ ධර්මයේ පිහිට පතන්න.. අයහපත් මාර්ගවලින් විසඳීමට ගියවිට සැමදෙනා දුකට පත්වේ...
anger,anger,මේ වැඩේට උපරිම දඩුවම් දෙන්න ඕනේ
anger,anger,හිතක් පපුවක් නැති මිනිස්සු
joy,joy,ඉතා හොදයි
anger,anger,මේ වරදටනම් උපරිම දඩුවම් දෙන්න ඕනේ
,disgust,මේ පුද්ගලයා වෙදකමට කොහෙත්ම සුදුසු නැහැ. ිනයම වෛද්‍යවරයා බෝසත් ගුණවලින් පිරිපුන් කෙනෙක් විය යුතු නිදා
disgust,disgust,අනේ මන්දා මෙහෙමත් අජාසත්තලා.
,sadness,ඇයි මිනිස්සු දැන දැන වැරදි කරන්නේ ? කවදා හරි ඇත්ත එළිවේවි.
anger,anger,මේ වගේ දේවල් කරන අයගේ රෙදි ගලවලා උසාවි යවන්න ඕනේ.
surprise,surprise,මේ අපේ රටේද ?
anger,anger,මේවට උපරිම දඩුවම් දෙන්න.
,anger,වෛරයෙන් වෛරය නොසන්සිදේ. වැරදි කරුවන්ට නිසි දඩුවම් දෙන්න.
anger,anger,දැන් ලංකාව බෞද්ද රටක් කියල හැම කෙනෙන්ක්ටම ඕනෑම දෙයක් කරලා අවරුදු 5 විතර හිරේ දාල නිදහස් කරනවා . මමනම් කියන්නේ මේවගේ වැරදිවලට මේ තුන්දෙනාවත් බස්සන ඕනෙ ඇසිඩ් බැරල් එකකකට පණපිටින්. බොරුවට මුන්ව හිරේ දාල අපේ අදායම් බදු වලින් මුන්ට කන්න දෙන්න හොද නැහැ.
anger,anger,මෙයාට නීතියෙන් නැතත් ජනතාවගෙන් දඩුවම් ලැබේවි.
anger,anger,මේ අයට උපරිමයෙන් දඬුවම් දෙන්න.
anger,anger,ඇසිඩ් වලින්ම මරණයට පත්කළ යුතුයි.
joy,joy,බලන්න ලංකාවේ තියෙන සමානාත්මතාවය වෙන කොහේවත් තියෙනවද කියලා?
,,කරන කලට පවු මිහිරිය මී සේ- විදින කලට දුක් දැඩිවෙයි ගිනි සේ...
,disgust,අයෙක් නසා තම දියුණුව පැතූ මොවුන්ට නීතියෙන් කෙසේවෙතත් ඇතුළේ අයගෙන් නම් නිසි දඩුවම් ලැබෙයි.
sadness,disgust,මේ මිනිසුන් මෙවැනි දේවල් කරලා අන්තිමේ මොනවද ලබන්නේ?
,,අපි මේක සෞදියට භාරදෙමු.
anger,anger,මෙයාලට උපරිම දඩුවම් දෙන්න.
,,කෝ බොදු බල සේනාව?
anger,anger,බුරුලක් දෙන්න එපා
disgust ,disgust,දැන් ලංකාවේ බටහිර වෛද්‍යවරුන්ට වඩා ආයුර්වේද වෛද්‍යවරුන් පිරිහිලා.
anger,anger,අනික් අයටත් දැන ගන්න උපරිම දඬුවම් දෙන්න ...
anger,anger,මෙන්න ලංකාව උතුම් යැයි මොරදෙන්නන්ට හොද කණේ පහරක්.
,anger,අන් අය දිහා වැරදි විදියට බලන්න ප්‍රථම තමන්ගේ වැරදි හදුනාගන්න මිනිසුනේ.
disgust,disgust,බය නැතිව කරනවානේ මේවා
anger,anger,බුරුලක් දෙන්නම එපා
anger,anger,සුදු වෑන් එකක් එන්න ඕන 3 දෙනාවම අරන් යන්න...
anger,anger,දැඩි දඩුවම් දෙන්න
,disgust,"අපේ රටේ කරුමෙට ඉතින් අපිට නැති වෙන්නේ , ශ්‍රේෂ්ට උතුම් මෙලොව සැබෑ දෙවිවරු වන මනෝ වෛද්‍ය හරිස්චන්ද්‍ර වෛද්‍යතුමා වැනි අය තමයි. ඒකටත් එක්ක මේ වගේ අය තාමත් මේ රටේ ඉන්නවනේ? මේ වගේ අය අර වෛද්‍යතුමා වගේ අයටත් කැළලක්."
anger,anger,හිඟන්නන්ට මුදල් දීලා අපි හාඟන්නු වෙන එක විතරයි වෙන්නේ
,,අපි කෙනෙකුට යමක් දෙන්නේ යහපත් චේතනාවෙන්. ඉන් යහපත් යමක් කිරීම ලබන්නාගේ වගකීමයි.
,joy,"නියමයි , ලෝබ මුදලාලිට හිඟන්නගෙන් පාඩමක්. තමන් හිඟමනේ ගියාට ලෝබ නෑ කියලා නොකියා ගියා"
,,අදකාලේ හිගන්නා දුගියෙක් නොවේ. වාහන බැංකු ගිණුම සැප ගෙවල් තියන මුදල් පොලියට දෙන හොඳ දක්ෂ ව්‍යාපාරික කෙනෙකි. මුදල් දෙන මැදපන්තියේ මිනිස්සු හැබෑ හිගන්නෝය. හින්ගන්නන්ගෙන් බදු මුදලක් ගැනීම ළඟදීම සිදුවනු ඇත.
,anger,ඒ අය නෙමෙයි හිගන්නෝ. දැන් මාසේ පඩියට රස්සාව කරන අපියි හිගන්නෝ.
anger,anger,ඉතින් මොකද? හිගන්නෝ කියලා එයාලට ආසාවල් නැද්ද?
disgust,disgust,තව ටික කාලෙකින් අපිට හිඟාන්නන්ගෙන් සල්ලි අපිට ඉල්ල ගන්න වෙයි වගේ
,,හිඟාකෑමත් හොඳ රස්සාවක් වෙලා
,,"හිඟන්නු කියන්නේ සල්ලිකාරයෝ , අපේ මෝඩ මිනිස්සු සල්ලි දෙන එක තමයි වැරදි"
,disgust,හිගාකන එක එයාගෙ රස්සාව. සෙන්ට් නෙමෙයි ඕනෑ දෙයක් ගාන්න එයාලටත් අයිතිය තිබෙනවා.
anger,anger,ඇයි ඒ මිනිස්සුන්ට සුවද විලුවන් අකැපද?
,,සල්ලි තිබුණත් එයාලා හිගන්නොනේ.
,,ඇයි හිගන්නන්ට සල්ලි නැද්ද? අපි තමයි ලොකුම හිගන්නෝ.
,,අපේ රටේ තියෙන තත්ත්වය අනුව මෙවැනි දේවල් වහාම පොලිසියට දන්වන්න ඕනෑ කියලයි මට හිතෙන්නේ.
,,"සල්ලි දීල බැනල වැඩාක් නෑ ,මමනම් දෙන්නෙ බොහොම අහම්බෙන් නොදීම බෑ කියල හිතුනම, ඊට පස්සෙ ඒක අමතක කරනව මිසක් අරූට හිතින් බැන බැන ඉන්නෙ නැහැ"
surprise,surprise,පුදුම පුදුම වැඩ තමයි දැන් සිද්ද වෙන්නේ
surprise,surprise,මට නිකන් පිස්සු වේගේ
,,සිග්න වෙසින් කවුද ඉන්නේ කියලා කවුද දන්නේ
anger,anger,දුන්න සල්ලි ඉල්ලා ගන්න තිබ්බේ
,,"මුදලාලි දන්න තරම, මේ තමයි පිරිසිදු හිගන්නෝ."
anger,anger,"හිගන්නෝ කියලා ඒ මිනිස්සුන්ට කූල් බීම, සුවද විලවුන් පාවිච්චිය අකැපද?"
,,ලෝකයේ හැමතැනම ඉන්න හිගන්නෝ ගොඩක් සල්ලිකාරයෝ.
,surprise,500 කොළේ ඇත්තම එකක්ද?
anger,anger,යාචකයෝ 99 % ක්ම බොරුව තමයි දන්නේ
,,ඉතින් එකේ වැරැද්ද මොකක්ද? සල්ලි හිගාකන්නේ ඒවා වියදම් කරන්නනේ. හිගන්නෝ අපිට වඩා හම්බකරනවා කියන්නේ හූල්ලන්න තරම් දෙයක්ද? එයාලට සල්ලි දෙන්න තරම් හිත හොද මිනිස්සු තාම ඉන්නවා කියලා සතුටු වෙන්න.
disgust,disgust,ඔන්න රටකට ගිය කල
,,සුවද විලවුන් ගන්න වෙන්නැති සිගා කෑවේ
,,සල්ලි දුන්න අපි නේද පරාද
,,සරත්ගේ අදහසට මමත් එකගයි.
,,හිගන්නොත් දියුණුවෙලා
,,නවීන පන්නයේ සිගන්නෝ
,,අපේ රටේ අය මෙවන් දේවල් ලෝකයට හදුන්වා දෙන්න කොච්චර කැපකිරීම කරනවද?
,,මොකක්ද එයාගේ දුරකතන අංකය?
joy,,ලංකාදීපයට ස්තුති මෙවන් ලිපි පල කරනවාට
,,රත්නෙටුල් ශාකය බලන්ගොඩ රජවක ප්‍රදේශයේ ඇත. අවශ්‍ය නම් ඉහත ලිපිණයට ඊමේල් කරන්න. (janaka@sab.ac.lk)
,,දේශීය ආයුර්වේදය කියන්නේ රාවනා රජුගෙන් පැවතදෙන දෙයක්
joy,,අපේ රාවනා රජුට පින් සිද්ද වෙන්න තමයි
joy,,"ගරු වෛද්‍යතුමනි, ඔබගේ සේවය ලොවට අවශ්‍ය වටිනා සේවයකි. සකල ලෝ ජනයාගේ හිත සුව පිණිස මෙවන් ඉසිවරු රැක ගැනීම කාගේත් යුතුකමයි . ඉතා ඉක්මනින් ඔබතුමන්ලාගේ අගය ලෝකය වටහා ගනීවි . එතෙක් මේ දැනුම ආරක්ෂා කර ගන්න. ඔබට පින්."
,,ඔය වෙදකම කරුණාකර තවත් අයෙකුට උගන්වන්න.
,,මොකක්ද එයාගේ දුරකතන අංකය? කරුණාකරලා කියන්න.
,joy,අපේ දේ අපි රැක ගත යුතුයි
,,අපිට ඔබතුමාගේ දුරකතන අංකය දෙන්නකෝ.
,joy,ඉතාමත් වටිනා ලිපියක්
joy,joy,මෙය ඉතා වැදගත් ලිපියක්. ලංකාදීපයට ස්තූතියි
joy,joy,දීර්ඝායු වේවා !
,joy,හොඳ ප්‍රවෘත්තියක් මම උදව් කරනවා ඔහුට
,,කරුණාකර වෙද මහතාගේ දුරකතන අංකය සොයාදෙන්න.
,,වෙද මහත්තයාගේ දුරකතන අංකය දෙන්න බැරිද?
joy,joy,රටක් වටින වෙද මහතෙක්. දීර්ඝායු වේවා!
joy,joy,මෙවන් වෙද දෙවිවරුන්ට රාජ්‍ය අනුග්‍රහයවත් දීලා රැකගන්න උත්සාහ කරන්න ඕනෑ. ඔබතුමාට දීර්ඝායුෂ..!!!!
,,මට කරුණාකර ඔහුගේ දුරකතන අංකය හෝ ලිපිනය එවන්න.
joy,,මත්තල ගැන මෙහෙම දැනුවත් කරනවට ලංකාදීපයට ස්තූතියි.
,,අනේ මේ පුද්ගලයාව රැකගන්න ක්‍රමයක් නැද්ද?
,,මට කරුණාකර ඔහුගේ දුරකතන අංකය හෝ ලිපිනය දෙන්න.
joy,joy,ඔහු ගැන මට ආඩම්බරයි
joy,joy,"අපට ඔබ ගැන ආඩම්බරයි, කරුණාකර ලිපිනය හෝ දුරකථන අංකය දෙන්න"
,,අපි කුඩා කග සිට හොඳින් දන්නා කැඩුම් බිඳුම් වෙදමහතෙකු සහ සර්වාංග වෙදමහතෙකු මෙලෙස වෙදකම මතු පරපුරට ලබා දෙන්නට​ නොහැකිවම මියගියා. මොනම ආකරයේ අනතුරකින් හෝ ඇටකටු වලට වුවද හානියක් වුණොත් සතියකින් යථා තත්වයට පත්කරන්න පුලුවන් වෙදකමක් තිබුණා. ගම්පහ නැදුන්ගමුවේ බාලසූරිය වෙද මහත්මයාගේ මේ බෙහෙත් එතැනින්ම නතර වුණා. අපේ මේ වගේ මිල කළ නොහැකි වටිනා සම්පත් වලට රජයෙන් උදව්වක් නොමැති නම් අපේ එකමුතුකමෙන් වත් රැක ගනිමු.
,,දුරකතන අංකය හරි ලිපිනය හරි දෙන්න.
,,මට පුළුවන් නම් දුරකතන අංකය ලබාදෙන්න.
,,හලා හල කියන්නේ උග්‍ර විෂක්
,,මේ වගේ දෙයක් ප්‍රසිද්ද කිරීම හොදයි. දුරකතන අංකය සහ ලිපිනය දැම්මොත් නේද තවත් හොද/
,,මේ වෙද මහත්තයාගේ දුරකථන අංකය ලබාදෙන්න
,,කරුණාකර වෙදමහතාගේ දුරකථනය සහ ලිපිනය ලැබෙන්න සලස්වන්න බැරිද?
,,අපේ මේ වගේ මිල කළ නොහැකි වටිනා සම්පත් වලට රජයෙන් උදවුවක් නොමැති නම් අපේ එකමුතුකමෙන්වත් රැක ගනිමු.
joy,,ගොඩක් හොඳයි.
,,මේ වෙද මහතාගේ දුරකතන අංකය දෙන්න
,,රියදුරා උතුම් කෙනෙක්. නමුත් දරුවා‍ගේ දෙමාපියන්?
,,"හොද වැඩක් රියදුරු මහතා කරලා තියෙන්නේ, හැබැයි ආයේ යනකොට පොලීසිය දැනුවත් කරලා යන්න, වදින්න යන දේවාලේ ඔළුවට කඩන් වැටෙන්න බැරි නැහැ."
,,119 එකට කිවුවා නම් හරිනේ.
,,ඔය ළමයාව ආපහු අරගෙන එද්දී පොලිසියට එහෙම අහුවුණා නම් පුදුම ප්‍රශ්නයක් තමයි වෙන්නේ.
anger,anger,අම්මයි තාත්තයි ගැන ලියන්න මට හිතෙන දේ මම මෙතන ලියන්නෙ නැහැ.
disgust,anger,නොසැළිකිලිමත්කමේ උපරිමයටම ගිය දෙමවුපියෝ.
,,ඔයාලා කලබල වෙන්න එපා. අපි ඒ දරුවට තනියට සෙල්ලම් කරන්න මල්ලියෙක් හදන්න කියලා ඒ දෙමවුපියන්ට කියමු.
,,රියදුරු මහතාට මගේ ස්තුතිය! රථයේ ගමන් කළ අය නිදිමතේ නොවේ ඉඳලා තියෙන්නෙ. මට පෙනෙන්නේ නම් වෙරිමතේ.
sadness,sadness,ඒ ළමයට ඔවැනි දෙමවුපියන් ලැබෙන්න ඇත්තේ ළමයගේ පවකට වෙන්න ඇති.
,,මම හිතාගෙන හිටියේ බොරු කතාවක් කියලා.
joy,Joy,වාහන ඇතුළෙත් ළමා දූෂණ වෙන මේ කාලයේ රියැදුරාගේ ක්‍රියාව අගය කළ යුතුයි.
surprise,surprise,මොන නාඩගමක් නැටුවත් තමන්ගේ දරුවො අමතක වෙනවද?
surprise,surprise,මේ ඇත්තටම දෙමවුපියොද?
,joy,ඒ අම්මයි තාත්තයි කොයිතරම් නම් උතුම්ද?
surprise,sadness,නින්දට යනකොටත් තමන්ගේ දරුවා නැති අඩුව නොදැනුනානම්.................. මට අදහාගන්නත් බෑ
surprise,Surprise,පුදුම දෙමව්පියෝ....!
surprise,Surprise,මෙහෙම දෙමව්පියනුත් ඉන්නවද ?
,,ගණන් ගන්න එපා. ගුණගරුක දෙමාපිය යුවළකට වූ පොඩි අතපසුවීමක්.
surprise,Surprise,මොන නින්දක් ගිහින්ද මෙයාලට?
surprise,,කාටවත් අම්මාව අමතක නොවුණූ එකත් පුදුමයක්.
,sadness,දැන් ඉන්න දෙමාපියන්ට තමන්ගේ දරුවන් අමතක වෙන හැඩයි
surprise,sadness,දෙමව්පියන්ට තරු පෙන්නේ අර මනුස්සය වාහනේ පිරිසිදු කරන්න නොගියානම්.හුස්ම ගන්න බැරිව මොනවා හරි වෙලා උදේ වෙනකොට එහෙනම්...
,,ඔයා එහෙම විතරක් හිතන්න එපා නිස්සංක . ඒ වෑන් රියදුරා සිටියේ එම දරුවාගේ වාසනාවට කියන එක ඔයාට හිතුනේ නැද්ද . මම හිතන්නේ ඔහු හොද රියදුරෙක් පමණක් නොව සැබෑම පියෙක් කියලයි
,,රියදුරු මහත්මයගේ ක්‍රියාව ඉතාම උතුම් . තමන් වැරදි නැත්නම් පොලීසියට බය වෙන්න දෙයක් නෑනේ
surprise,disgust,මෙහෙමත් දෙමවුපියෝ
,,කට්ටියටම පොඩ්ඩක් පැටලිලා වගේ. ඔහොම තමයි
surprise,Surprise,ඔන්න දෙමවුපියෝ
,,අපි කොහොමද අනුමත කරන්නේ
,,අම්මා කියන වචනේ තේරුම දානවාද
anger,anger,අයියෝ මෙවන් දෙමව්පියන්
,,"මේක පුදුම වෙන්න දෙයක් නැහැ , මේ සම්භන්ධව හදපු ළමා චිත්‍රපටිත් තියෙනවා"
,,ආදරයේ උල්පත වූ අම්මා. ප්‍රේමකීර්ති මහත්තයා හිටියානම් මොන වගේ මවුපිය ගීයක් රචනා කරයි ද දන්නේ නෑ
disgust,disgust,මේවට නම් ඉතින් කියන්න වෙන්නේ දෙයියෝ සාක්කි කියලා තමයි.
,,මෙන්න මිනිස්සු
,,සරදියෙල්වත් සමරුවොත් නරකද? ඔහුත් දුප්පතාට සේවය කල කෙනෙක්.
,,සරදියෙල්ටත් උපහාර කළා නම් තමා හොද
joy,Joy,හොද වැඩක්
joy,joy,අපේ නමස්කාරය ඔබට!
,joy,මහත්තයා නරුනත් නාමය අමරණීයයි
,,සරදියෙල්ලාගේ කාලේ සිද්දියක්
,,සරදියෙල් මංකොල්ල කෑවේ සුද්දන්ගේ සල්ලි. සරදියෙල්වත් සමරනවානම් හොදයි
,sadness,මිය ගිය පොලිස් නිලධාරියා සදා අමරනීයයි
sadness,sadness,රාලහාමි ඔබට නිවන් සුව
,joy,පොලිස් සේවයට ඔබ ආදර්ශයක්
,joy,සදා අනුස්මරණීයයි.
,,සරදියෙල් කියන්නේ සුද්දට විරුද්දව සටන් කරපු කෙනෙක්. සුද්දා වෙනුවෙන් ක්‍රියාත්මක වුණ පොලිසිය අපට අපේ රටේ පොලිසිය කියලා පිළිගන්න බැහැ. අපි අලුත් පොලිස් දිනයක් සැමරිය යුතුයි.
,joy,ඉතාමත් වැදගත් වැඩක්
,,සභාත් කියන්නේ මුස්ලිම් කෙනෙක්ද?
,,සියළුම පොලිස් නිළ දරුවන්ට අපගේ ප්‍රණාමය!
,,ලංකා පොලිස් ඉතිහාසයේ පළමු වරට ජිවිතය පරදුවට තබා ක්‍රියා කර ඇත්තේ මුස්ලිම් කෙනෙක්. ඒ වගේම උතුවන්කන්දේ සූර සරදියල්ට උදවු කලෙත් මුස්ලිම් කෙනෙක්.
,,"ඇති මිනිහාගෙන් අරන් නැති මිනිහාට දුන්නු මිනිහෙක් සරදියෙල් කියන්නේ,"
,,"මෙම දිනය කාසියක දෙපැත්ත වගේ. සරදියෙල්ගෙත් මරණයට ආසන්නම හේතුවත් මෙම පොලිස් නිලධාරියාගේ මරණයම වීමත්, හිතට දැනෙද්දී මොකක්දෝ වගේ"
,,සරදියෙල් කියන්නේ සිංහලයෙක්.
,,ඔබ පොලිස් දෙපාර්ත මේන්තුවට ආදර්ශයක්
,surprise,ඇයි අපි සුද්දන්ට එරෙහිව වැඩ කරපු සරදියෙල්ව සමරන්නෙ නැත්තේ?
,,ලාංකිකයකු ලෙස මම් මලේ මරික්කාර් හා දීකිරි කෑවගේ සරදියෙල් මගේ ජාතික විරුවන්ය.
disgust,,ලංකාවේ කාන්තා පොලිස් කොස්තාපල් වරියන් දැක්කම හිනා යනවා. කෙලින් හිට ගන්න පන නැහැ වගේ.
,,මෙහි මරුමුවට පත් පොලිස් නිලධාරියා මුස්ලිම් ජාතිකයෙක්. මුස්ලිම්වරයකු වශයෙන් ඔහු කළ සේවය ශ්‍රී ලාංකිකයන් වශයෙන් මහත් ආඩම්බරයකි.
anger,anger,සමරන්න ඕනා එක නෙවෙයි සමරන්නේ.
,,ඒ කාලෙත් ඉ්සසරහට ගිහින් තියෙන්නේ හලාල් කරපු කෙනෙක්.
anger,anger,ඈ බොලේ? දැන් එතකොට සරදියෙල්ද දේශද්‍රෝහියා?
,,"සමරන්න ඕනා සරදියෙල්, තව තව මේ රටට අවශ්‍ය වන්නෙත් සරදියෙල්ල, ශූර සරදියෙල්ට මා‍ගේ උපහාරය"
,surprise,සරදියල්ව නේද සමරන්න ඕන
,sadness,බලන්නකෝ අපේ පොලිස් කාන්තාවන්. අනේ ඉතින් මේ අපේ පොලිසියනේ...
anger,anger,පොලිසියෙන් මරපු අහිංසක මිනිසුන්ව සැමරුවොත් නරකද? හැබියි පාතාපයන්ව නෙමෙයි.
sadness,sadness,නිවන් සුව ඔබට
,,සමරන්න ඕනේ සරදියෙල්වනේ.
,disgust,සුද්දෝ වෙනුවෙන් මැරෙන්න ගිය කෙනෙක්ව ඇයි සමරන්නේ. මේක කව්රුහරි ගොඨාභය මහත්තයට පෙන්නුව නම් එයා වෙනසක් කරයි.
,sadness,30 අවුරැද්දක් පුරා රට වෙනුවෙන් දිවි පිදූ පොලිස් නිලධාරීන් අද අමතකද?
joy,Joy,ජනපතිතුමාගේ තවත් හොද වැඩක්.
joy,,ගොවියට මේ ගමන අවුරුදු නැතිවුණත් ණය බරින් මදක් හෝ නිදහස් වීමට මේ කළ උපකාරය බොහෝ වටිනවා.
,,මේ සදහා නිත්‍ය ක්‍රමවේදයක් යොදන්න.
,,"මම කියන්නද තවත් විසදුමක් , දුර බලන්නේ නැතුව ගෙන්න කොළඹ, ගෙනල්ලා කොහේ හරි ඉදගෙන විකුනන්න, මාව විහිලුවකට ගන්න එපා"
,,කීයකට හරි විකුණන එකනම් වටිනවා
,,මේක තාවකාලික පැලැස්තරයක් නේද?
anger,anger,අපේ ගොවියො තවමත් මට්ටු වෙලා නැහැ.
anger,anger,මිට වඩා වැඩියෙන් විකුනන්න බැරිද
,disgust,රජය මේවා අරගෙන මොනවා කරන්නද දන්නේ නැහැ හදන්නේ. මේ සදහා ක්‍රමවත් වැඩපිලිවෙලක් අවශ්‍යයි.
joy,,ඒ අසරණ ජනතාව තවත් අසරණ නොකර මේ කල වැඩේ හොදයි
,,"අපොන්සු, ගොවියන්ට මේ ප්‍රශ්න එන්නේ වැඩිපුර අස්වැන්න නෙලන කාලයටයි. අනිත් කාලවලට මේ ප්‍රශ්ණ නැහැ."
joy,,විසිකරපුවට වන්දියක් නැතිද? දඹුල්ලේ ඉන්න අතරමැදි ගැනුම්කාර චන්ඩි නහර ගණන් කාරයින්ගේ න් ගොවියා බේරා දෙන්න .දිගටම මේ වැඩපිළිවෙල ගෙනියන්න .ඔබට පින් සිද්ධ වෙනවා .
,,හැමදේකටම අද ජනාධිපතිතුමාට මැදිහත්වෙලා ප්‍රශ්න විසදන්න වෙලා. රජයේ මුදල් කෝටි ගානක් වියදමි කරලා අමාත්‍යංශ පවත්වාගෙන යාම විහිළුවක්.
