text,label
විශ්වයේ තිබෙන බුද්ධ රෂ්මි බලයෙන්ද සම්‍යක් දෘෂ්ඨික දෙවි දේවතාවුන්ගේ බලයෙන්ද ඔබ සැම ආරක්ෂා වී ඇත. සැමට ජය ශ්‍රී මහ බෝ සමිදු පිහිටයි!,joy
සියළු දෙවියෝ රකිත්වා මෙවන් වීරවරයන් !,joy
සාධු...සාධු...සාධු.!,joy
ඔබ සියලු දෙනාටම බෝසමිදු පිහිටයි! මටත් සහභාගි වන්න ඇත්නම්...,joy
මෙම ලිපිය ලියු මාධ්‍ය වේදීයාට කෘතඥ වෙමි. සුවහසක් මිනිසුන්ට බුද්ධාලම්භන ප්‍රිතිය ගෙන දීමට ස්වර්ණමාලි චෛත්‍ය රාජයාගේ හුණු පිළියම් කරන ශිල්පීන් සැමට තෙරුවන් සරණයි.,joy
මේක ලොකු පිනක්..,joy
මේ සඳහා අනුග්‍රහය දක්වන මහීල් ශ්‍රීමන්ත මහතාගේ නම සඳහන් නොවීම අඩුපාඩුවක් ලෙස පෙනේ.,sadness
වාහන පර්මිට් එක දුන්නත් එකත් විකුනන් කනවා අපේ උදවිය.,disgust
"සරත් , ඔයා ඉන්ටර්නෙට් නොයා ඉන්න.",anger
පොඩි වාහනයක් දැක්කොත් වරදක් ඇතත් නැතත් පොලිසියෙන් නවත්වනවා. සුඛෝපභෝගී ලොකු වාහනයකින් ගියා නම් ණය වෙලා හරි නිදහසේ එලවාගෙන පිම්මේ යන්න පුළුවන්,anger
"ගාමිනි, කියන්ඩ දෙයක් නැත්තන් කට වහගෙන ඉන්න ඔහේ කියවන්නේ නැතුව.",anger
ගාමිණී බලන්න ඔලුව පොඩ්ඩක් අතගාල. මේ නිකන් උල් දෙකක් පෑදීගෙන එනවද කියලා.,anger
මේක සත් මහල් ද සිව් මහල්ද? අනේ මන්දා?,surprise
ගාමිණී ඔයා නම් පුදුම කෙනෙක්. මොලේ කොහෙද තියෙන්නේ.,anger
ගාමිණි ගම කනවා .,anger
අහවල්ලුන්ගේ කොන්ත්‍රාත් කාරයෙක්ද කොහෙද වැඩේට අත ගහලා තියෙන්නේ?ආශ්චර්යය ආශ්චර්යය...,anger
අම්මෝ ඇලවෙලා තියෙන හැටි?,surprise
ඔය පහුගිය දවස්වල රට ඇතුලට ගෙන ආපු ප්‍රමිතියෙන් අඩු සිමෙන්ති යකඩ වල ප්‍රතිඵල තමයි. තව තව දේවල් ඉස්සරහට බලන්න පුළුවන් වෙයි.,anger
"සමහරු ගාමිණී මහතාට මෙහි අපහාස කර ප්‍රතිචාර දැක්වීම ඉතා කණගාටුදායකය. මට වැටහෙන අයුරින් ඔහු කණු යනුවෙන් අදහස් කර ඇත්තේ උස ගොඩනැගිළි තැනීමේදී අත්තිවාරම තැනීමට පෙර පොලව යටට බස්වන කණු ""පයිල්"" විය යුතුයි. සෙලින්කෝ වැනි උස ගොඩනැගිළි තැනීමේදී ප්‍රමිතියට අනුව මෙය කළ යුතුයි. උස ගොඩනැගිළි අතර සිදුවන විශාල භූමි චලනයන් වලින් ගොඩනැගිළිවල බිත්ති පිපිරී ඉරිතලා යෑම් සිදුවේ. අවට සිදුවන තද කම්පනද උස ගොඩනැගිළි වලට ඉතා අහිතකරයි. මේ ඇලවී ඇති ගොඩනැගිළ්ලේ තට්ටු දෙකක්ද පොලවට ගිලාබැස ඇතිබව පිංතූර‍වලින් පෙනේ. පොලවයට සිදුවී ඇතිදෙය සොයා බලන තුරු ‍මේ ආපදාවට හේතුව දැක්වීම අපහසුය.",sadness
අර උඩ පොටෝ එකේ දර්මසිරි නිදහස් වෙලා යනගමන් කියල මාංචු දල ගෙනියන්නේ කොහෙද?අදකාලේ නිදහස් කරන අයත් මාංචු දාලද ගෙනියන්නේ?,anger
මෙවන් පුද්ගලයින් දේශපාලනයට ගේන්නෙත් ඉතින් අපේම ඡන්දදායකයොනේ.,anger
අනේ රටට ගිය කල? තමුන්ගේ මල්ලි කුඩු විකුණන බව දැනගෙන හිටියේ නැද්ද? බොරුවනේ කරන්නේ . රටම ආර්ථිකය වැටිලා යුද්දේ දිනුව එක හොදයි. ඒත් යුද්දෙට වියදම් කරපු සල්ලි ඉතුරු වෙනවා කෝ?,anger
මක් කිව්වා ?,surprise
කවුරු මොනවා කිව්වත් මම නම් අවංකවම ප්‍රීති වෙනවා,joy
වාර්තාවලට අනුව ආර්ථික වර්දනයක් සිදුවෙලා නම් ඇයි අපට ජීවත් වෙන්න මෙපමණ කරදර .,sadness
"ලොකු ලොක්කො නම් සංවර්ධනය වෙනවා, ජනතාව හිගාකනවා",anger
"කෙහෙම්මල් ආර්ථික කතාවක් එලියට දැම්මට පස්සේ තමයි, විදුලි බිල අමු අමුවේම වැඩිකළේ. මීට පස්සේ ඔය මගුල් වාර්තාව එලියට දාන්න ඕනේ නැහැ. තේරුනාද?",anger
"දුම්රිය හරහා පාලමක් දාන්න වත්කමක් නැති රටක්.( බේරුවල සිද්ධිය) නමුත් ඇමති, මන්ත්‍රීලා හොදට ජීවත් වෙනවා.",disgust
මම කිව්වාය කියලා හිතාගත්තොත් හොඳයි.,anger
හරිම ආඩම්බරයි අපේකම ගැන.,joy
බොහොම සන්තෝෂයි,joy
හොඳ වැඩක්. නියම වුවමනාවක් ඇති අය ඉන්නවා පේනවා,joy
සේනක දන්නා දෙයක් කියන්න.,anger
මට දුකයි මේ ප්‍රතිචාර දැක්කම .,sadness
සිවුපාවන්ට තියෙන මොලය අපේ රටේ මිනිස්සුන්ට නැති එකයි දුක.,sadness
ගොඩක් ලස්සනයි.හොදට පුහුණු කරවලා.පුහුණු කරවපු කට්ටියට බොහොම ස්තූතියි,joy
හොදයි,joy
හරිම සුන්දරයි,joy
"අති විශිෂ්ටයි...! අති විශිෂ්ටයි...! එක වැකියකින් ලියා නිම කරන්න බැරි දරැනූ ගණයේ අපරාද වෙන මේ යූගයේ මිනිසූන් තූල ඇති තිරිසන් ගතිපැවතූම් විදහාපාම්න් අනූකම්පාව ගෑවිලාවත් නොතිබෙන මේ සමාජයේ, මේ තිරිසනූන් තිරිසන් සත්තූ උවත් මනූෂ්‍යයට වඩා උසස්.",joy
නියම රංගනය අරිම අපුරු දර්ශනයක් ජනතා මුදල් කාබාසිනියා නොකර හරි ලස්සනට කරලා තිබෙනවා.,joy
"පොලිසියේ රාජකාරිය මේ සතුන් අකුරටම කරයි, ජරාව කන්නේ නැති නිසා.",joy
හරිම ලස්සන සංදර්ශනයක්. මගේ ඩොබමන් ජෝඩුවක් ඉන්නවා. එයාලා හරිම කැමතියි කකුල් දෙකෙන් ඇවිදින්න. පොලිසියේ මහත්වරුන්ට වැඩිය මේ සතුන් රාජකාරිය අකුරටම කරනවා ඇති.,joy
මේවා බලු වැඩ හොදේ.,anger
සතුන් උනත් කොයි තරම් විනයකින් යුතුයිද? අපේ මිනිසුන්ට වඩා..,joy
හරිම ලස්සන දසුන් පෙළක් මේ අය පුරුදුකරන්න පොලිස් e නිලදාරීන් කොතරම් මහන්සි වෙනවද කියා මම සියසින් දැක තිබෙනවා . ස්තුතියි මහත්වරුනි.,joy
කෙසෙල්වත්ත පොලිස් ස්ථානාධිපතිතුමා ප්‍රදේශයට විශාල සේවයක් කරන ඉතාමත් හොඳ මහත්මයෙක්. එත් එතුමාගේ නම වැරදියට සටහන් වී තිබීම කණගාටුවක් එතුමාගේ නම තිස්ස කුමාර.,sadness
දැක්කම ලස්සනයි..!,joy
අනෙක් අලින්ටත් ඔය ටිකම තමයි.,sadness
"අරුණ , ඔබ හිටියේ කිනම් රජුගේ කාලෙහිද..?",surprise
දැං ජීවත් වෙන්න ගොඩක් අමාරු කාලයක්...,sadness
කෝටි 120 පාඩු වුණා නේද කලින් හාල් රට යවලා. ඒවගේ පාඩුව කොහොමද දරන්නේ.....,sadness
"රට ස්වයංපෝෂිතයි, අපි මැද පෙරදිග දුක්විදින කල්",anger
බොරු සෝබන වැඩ.,anger
අලි හැමදාම අලි. ඒ නිසා කාට හරි පුලුවන්ද ඔය හෙන්ඩුව හොදට රත් කරලා වටයක් කරකවලා 2ක් අනින්න. ඊට පස්සෙවත් අලි බුලත් කොටු වලට පනින එක නතර වෙයි.,anger
මී හරක් ටික ලොකු පුටු වලට යවලා හාන්න අලි අරන් වගේ. හොදයි වැඩේ,disgust
"පව් ,ඇත්ත නේන්නම්. ඌට කකුලක් අරන් කකුලක් තියන්න මොනතරම් අමාරුද?",sadness
ජනතාව නොමග යැවීමක්.!,disgust
විකාර..,anger
තාම සෙනඟ ඉන්නවා එ.ජා.ප.‍ යට,disgust
මොනවද මේ කතා !,surprise
මෙයාලා ඉතින් වීදි නාට්‍ය කර කර ඉදිවී. අපි මෙහේ වේළෙනවා.,anger
මැයි පෙළපාලි ඔක්කොම විහිළු.,anger
කම්කරුවන්ගේ දිනේ දේශපාලුවන්ගේ දිනයක් කරගෙනය.කොයි දේශපාලන පක්ෂයද කම්කරුවාගේ ප්‍රශ්න ගැන කතා කරන්නේ. මේ ක්‍රමය වෙනස් වුණ දාට අපිට‍ ලංකාවට ඇවිත් රැකියාවක් කරගෙන දෙයියනේ කියලා ඉන්න පුළුවන් වේවි,anger
මේ තමයි ආටක නාටක,disgust
මොනවාද මේ විකාර,anger
ඔය කෙනා ගැන කතා කරන්න මම නම් කැමති නැහැ.,anger
"මුස්ලිම් අය නම් ගෙනියන්න එපා , එහෙත් ඉවරවෙයි.",disgust
සදරුවන් පුතේ. පවුම් මිලියන 10 කියන්නේ ඇමරිකන් ආර්ථිකේ මාස දෙක තුනක අදායමක්. මරන්නේ අල්කයිඩා කාරයෝ නිසා ඔයා වද වෙන්න එපා.,anger
අවුරුදු දෙක තුනක බජට් එක වියදම් කරලා හරි මුළු පාර්ලිමේන්තුවම යැවුවා නම් මුළු සිරිලකටම සිරිසැප ලැබෙනවාමයි,anger
"සදරුවන්, ඇමරිකාවෙන් අපට ගහන්නේ ඔයා දැකපු හිනේකද? මොනවද ඔහේ ඔය කියවන්නේ? බීපු මිනිහෙක් වගේ. අනික එහෙන් අපට ගැහුවොත් ඔයා ළගට දුවගෙන එන්න ඔයා අපේ තාත්තද?",anger
"මහී සහ චූලා, ඔයාලා ගැන හරිම කණගාටුයි. තවමත් ජාතිවාදය හිතේ තියාගෙන ඉන්නවා",sadness
වීරසිංහ ඔයාලා වගේ අය සිංහ නාද බලු කෙඳිරිලි. ඔයාගේ මිම්මෙන් අනිත් මිනිස්සුන්ව මනින්න එපා. හැමෝම එක වගේ මෝඩයෝ නෙමෙයි. ඇමෙරිකාව ඔයාට කිය කියා ගහන්න ඔයා කව්ද?,anger
සදරුවන් ඔය පන්සල් යන්නේ බීලාද? මෝඩ කතා කියන්න එපා. අනුන්ට ගරහන්න එපා.,anger
දකුණේ වැඩ නම් ඔහොමම තමා.,anger
වයසක අයට අමතක වෙන එක වෙන්න පුළුවන් . ඒකට හිනා වෙනවනම් නරකයි.,sadness
දකුණ නෙවෙයි තුම්පනේ වුනත් වයසක අම්මට තාත්තට අමතක වීම වෙන්න පුළුවන්. ඒත් ඒ සිද්ධියෙන් දකුණ විග්‍රහ කරන්න තරමටම මේ ප්‍රතිචාර දාන අය මෝඩ තකතීරුවෝද? දකුණෙ වැඩ්ඩො නිසා තමයි කාටත් කතා කරන්න හරි රටක් තියෙන්නෙ.,anger
මේක ගම්පහ වෙලා තියෙන්නේ. ඉතින් දකුණට බනින්නේ පිස්සුද?,anger
"ඉන්දික, දකුණ ගැන ඔච්චර කියවන්න එපා.රට වෙනුවෙන් වැඩිම ජීවිත ගානක් පුජා කළේ වයඹ කොල්ලෝ. ඒකත් කුරුණෑගල පළාතෙන්.හැමදේකම අයිතිය දකුණට ගෙනියන්න හදන්න එපා.",disgust
"ඉන්දික,දකුණේ ඔයාලගේ වැඩකාරයෝ නිසා ලගදීම අපි ඔක්කොටම හිගා කන්න වෙනවා.",disgust
ඇයි වදේ දැන් ඔක්කොම දකුණටනේ බනින්නේ? අනේ කාලේ වනේ වාසේ. මෙයාලා ඔක්කොටම පිස්සු. අපිටත් පිස්සු මේවා බලනවට.,anger
දකුණේ අය තමයි අද රටයි විපක්ෂයයි දෙකම කන්නෙ.,disgust
හිනා වෙලා රස විදින්න දෙයක් කිවුවත් මෙයාලා කටින් ගහ ගන්නවානේ. අනේ මෙහෙම ලංකාවක්.,disgust
මේකේ කොහෙද වැරද්දක්? සාමාන්‍යයෙන් දැන් මගුල් කටයුතු කරන්නේ ඒ දෙන්නා. දෙමවුපියන් නෙමෙයි. මොකද දැන් තියෙන්නේ වයිවාරන දේවල් එයාලට තේරෙන්නේ නැහැනේ. චාරිත්‍ර තමයි අම්මලා කරන්නේ. ඉතින් දින නොදන්නාකම මෝඩකමක් වෙන්නේ කොහොමද?,surprise
මේ වගේ ක්‍රියාකාරකම් කරන පිරිසට ක්ෂණික විසදුම් ලැබුනත් නීත්‍යනුකුලව ඉල්ලීම් කරන්නන්ට ලැබෙන ප්‍රතිචාර ඉතාම මන්දගාමියි. හෙට අනිද්දා වෙනකොට කසිප්පුකාරයෝ ඔක්කොම ගස් නගී.,disgust
මෙන්න ආසියාවේ ආශ්චර්යය. කාට කියන්නද මේවා?,disgust
"දැන් ගෙවල්, ඉඩම් නැති කට්ටිය ඔක්කොම ගස් නගීවි වගේ. මෙහෙමත් ලෝකයක්!",disgust
ඉන්න හිටින්නවත් තැනක් නැති මේ අසරණ මිනිස්සුන්ගේ කතිරයෙන් කී දෙනෙක් රජ සැප විඳිනවද? එනකොටනම් බයිසිකලයක්වත් තිබුනේ නැහැලු.,disgust
ඔන්න ඕකටයි කියන්නේ ඔයවගේ නිලධාරීන් පොල්පිතිවලින් වුණත් කපාගන්න පුළුවන් කියලා.,anger
ඉඩම දෙන්න පොරොන්දු නිලධාරියාව ගස් බදින්න ඕනේ. නැත්නම් හැමෝම ගස් නගින්න පටන් ගනියි.,anger
මේ විකාර වැඩ නවත්වන්න ඕනේ. කැත්නම් හැම මිනිහම ගස් නගියි ඉල්ලීම් දිනා ගන්න. මින්පස්සේ ඔය ගස් කණු වලට නගින අය ගැන බලන්න එපා. එයාටම එපා වෙලා බිමට බහියි.,anger
සංඝ රත්නය පෙති ගගහා මරපු බංගලියන්ට මහසෙන් නෙමෙයි වහලෙන් යන්න වෙන්නේ ළඟදීම.,anger
"අසේල, ඔයාට තම්බි ගැන පුදුම කැක්කුමක්නේ තියෙන්නේ. ඔයා තම්බිගෙ නානද?",anger
අපිට දුක ටික හොදටම ඇති,sadness
අනේ ඇත්තම නේද මේ?,surprise
කව්දෝ එහෙම කීවත් ඇත්ත එකම නොවේනේ. නිකන් කට කතා හදලා නින්දේ ගිය රියදුරු මහතාට අපහස කරනවා.,disgust
පව් කියලත් හිතෙනවා,sadness
බලපුහාම මෙතන කියන්න තරම් දෙයක් වෙලා නෑ පත්තර කාරයොනෙ ගස්ලබු ඈට ගම්මිරිස් කරල දෙන්නෙ.,disgust
දඩුවම ...දඩුවම ...,anger
කිලිනොච්චියෙන් මැදවච්චියටත් යනවද?,surprise
ඔබ හරි. යූ.එන්.පී. යට ජයවේවා!,joy
මෙගොලෝ බලේ හිටියා නම් අද රටේ ජනාදිපති වෙලා ඉනේ ප්‍රභාකරන්. මහා ලියුමකින් උන්ට රට ලියලම දීලා දැන් මොනවද කියන්නේ. ඔහෙලා යුද්දේ දවස්වල කියපුව කරපුව තාම අපිට මතකයි.,fear
"අනේ මහත්තයෝ, ඔයාගේ කතා අහල ඇති වෙලා.",anger
ඉස්සර කටම තමා තාම වෙනසක් වෙලා නැහැ,disgust
මොනවා වුනත් මොහු කියන ඒවගේ ඇත්තකුත් තියනවා. ඉදිරිය බොහොම භයානකයි,fear
රණවිරුවන් ජිවිත පරිත්‍යාගයෙන් තමයි රට බේරා ගත්තේ,sadness
අය්යෝ සල්ලි. පව් මනුස්සයා. මෙහෙමත් රටක්. දුප්පතා අනාතයි.,sadness
මේ මිනිස්සුන්ට ඉපදෙන්න අපායවත් නැතිව යනවා.මේ වගේ කරන පව්කාර වැඩ වලට.,anger
ධාර්මිකව ජීවත් වෙන කෙනෙකුට කරදර කළ අයට යහපතක් නොවේ,disgust
අන්තිම කැත වැඩක්,disgust
ඉරිසියාකාර මිනිස්සු,disgust
සත්තු වගේ මිනිස්සු,disgust
පළිගන්නවා නම් මුහුණට මුහුණ එනු මිස මෙවැනි පහත් වැඩ අනුමත කළ නොහැක,disgust
ඊර්ෂ්‍යාකාරයෝ පිරුණු රටක මේවා සාමාන්‍ය දේවල්,disgust
තිරිසන් මිනිස්සු....,disgust
තිරිසන් වැඩ,disgust
මෙලොවදීම සාප දෙන අපරදයක්නේ පව් දෙය්යනේ,sadness
මිනිසත්කම නැති පිරිසක් තමා මෙහෙම දේවල් කරන්නේ.,disgust
කනගාටුවෙන් උනත් ....කියන්ඩ වෙන්නේ සිංහල මිනිස්සු ඔහොමයි...අද කාලේ...නැගිටින්න දෙන්නේ නැ..කකුලෙන් අදිනවා.....ඉස්සර වෙන්න දෙන්නේ නැ පිටට පිහියෙන් අනිනවා....වැරැද්දක් පෙන්නලා දෙන්න බැ....බෙල්ල කපනවා,disgust
නීතියෙන් සමාවක් දෙන්න එපා,anger
තවමත් ඔයවගේ කාලකන්නි ඉන්නවද?,anger
ලංකාවේ මිනිස්සුන්ගේ හැටි ඔහොම තමයි. කවුරුවත් කැමති නැහැ තවත් කෙනක් හොදින් ඉන්නවට. බන අහන බන කියන වැඩිම රට. මොනවා කරන්නද?  රටේ වැරැද්ද නෙමෙයි. මිනිසුන්ගේ හැදියාවේ වැරැද්ද. අපරාදේ රඹුටන් වගාව.,disgust
මේතරම් දියුණු ලෝකයක ප්‍රාථමික මට්ටමේ ප්‍රශ්න දිනපතා කතාකරන එක නැවැත්වීමට ගත් හොඳ ආරම්බයක්. දැන් කාපට් නොකරපු පාරක් සොයා ගන්න බැරි ගානයි,joy
ගොඩාක් හොද වැඩක්,joy
නියම ඉසිවරු.,joy
ඔය නෝනලාත් මහත්වරුත් කරන වැඩ දෙකෙන්ම කරන්නේ මනුෂ්‍යන්ගේ සිතත් ගතත් දෙකම සුවපත් කරන එකයි. ඔබලාට පින්!,joy
මේ වෙසක් සතියේ අගය කළ යුතු වැඩක්. සියළු දෙනාටම පින්.,joy
"ෂා! නියම දොස්තරලා ටිකක්නේ. අනේ වාසනාවන්, ලෙඩුන්ටත් හරි සතුටු ඇති නේද? අපිටත් සතුට දැනුනා. සුබ වෙසක් මංගල්‍යයක් වේවා, දොස්තර මඩුල්ලටත් ලෙඩුන්ටත් ලංකා වාසි සැමටත්!",joy
ගොඩක් වටිනා පිංවන්ත ක්‍රියාවක්. ගතින් රෝග වී සිටින අසරණ අයගේ සිත සුවපත් වේවා.,joy
උසස් ක්‍රියාවක් මහත්වරුනි.,joy
ඉතා හොඳ වැඩක්. ඔබට තෙරුවන් සරණයි!,joy
නියම ඉසිවරු.උසස් ක්‍රියාවක් මහත්වරුනි.,joy
ආදර්ශමත් වැඩක්! අගය කළ යුතුයි,joy
බොහොම පින් ක්‍රියාවක්. හරිම සන්තෝෂයි. ආදර්ශමත් වැඩක්.,joy
ඉතාමත් ශ්‍රේෂ්ට දෙයක්. වෙදකම වගේම මානසික සහනය දීමත් ලොකු පිනක්.,joy
පවු අහිංසක ලෙඩ්ඩු ටික,sadness
මේ වගේ වැඩක් අන්‍ය ආගමකින් කලොත් නම් ඉවසන්නම බැරී වෙනවා අපේ ඇත්තන්ට,disgust
තෙරුවන් සරන ලැබේවා ඔබ සැමට!,joy
රෝගීන්ගේ සිත් සතන් සතුටු කරන්න මෙම ක්‍රියාව ඉතා අගෙයි.,joy
"මේ ආදර්ශය උතුම් හොද වැඩක්. අනාගතයේ අපේ දරුවන් අම්මේ, වෙසක් කියන්නේ මොකක්ද , කියලා විමසන කාලයක් උදාවේවි .මේවා සැම වසරකම කලයුතු දේවල්.",joy
මම දකින විදිහට දොස්තරවරු මිහිපිට දෙවියන්. අත්දැකීමෙන් කියන්නේ. විශේෂයෙන්ම නුවරඑලිය රෝහලේ මට උදව් කළ අයට මගේ හද පිරි ස්තුතිය. .දිර්ගායු වේවා! බොහොම පින්.,joy
නිලා වගේ අය ඉන්නේ මිනිසුන්ට ගරහන්න. අගය කළ යුතු අය අගය කරන්න නෙමෙයි.,disgust
දොස්තරවරු මිහිපිට දෙවියන් ලෙස හැදින්විමට පුළුවන. ආයුරක්ඛන්තු ආවඩා! ඔබට ජය!,joy
"අර මාතරින් මාරු කරපු ලෙඩා මේ ගොල්ලෝ බාර ගන්න බැහැ කියලා පස්සේ කොළඹ යැවුවා. පස්සේ ඒ ළමයාගේ අතක් කපන්න වුණා. එදා ඒ දොස්තර නිවාඩු නැතුව ගමනක් ගිහිල්ලා. දැන් මේගොල්ලෝ සින්දු කියනවා ,බෙරගහනවා ,නටනවා. මිහිපිට දෙවියෝ ඉන්නේ ටිකයි .",disgust
සල්ලි මත පදනම් වූ ජීවිත මිහිපිට අපායක්,disgust
වැඩිගානක් දීලා මිනිස්සු ඔය කොච්චියේ යයිද?,surprise
වැඩිම මගීන් පිරිසක් ඉන්න වේයන්ගොඩ නවත්වන්නෙ නැද්ද? ගම්පහ ඉන්නේ පන්ති යන ළමයිනේ ඒ අය ඔය කොච්චියේ යයිද?,surprise
ඒ වෙනස හොදයි,joy
